Firefox 2|Firefox/2|
Firefox 3|Firefox/3|
Firefox 3|GranParadiso|
Firefox|Firefox|
Firefox|Phoenix|
Firebird|Firebird|
Firefox 2|BonEcho|
Thunderbird|Thunderbird|
Internet Explorer 8|MSIE8.|
Internet Explorer 7|MSIE7.|
Internet Explorer 6|MSIE6.|
Internet Explorer 5|MSIE5.|
Internet Explorer 4|MSIE4.|
Internet Explorer 3|MSIE3.|
Internet Explorer|MSIE|
Pocket Internet Explorer|MicrosoftPocketInternetExplorer|
Pocket Internet Explorer|MSPIE|
Opera|Opera|
Chrome|Chrome|
Safari|Safari|
Safari|AppleSyndication|
Safari|AppleWebKit|
Camino|Camino|
Netscape|Netscape|
Konqueror|Konqueror|
Lynx|Lynx|
AmigaVoyager|AmigaVoyager|
Vienna|Vienna|
Ensemble2|Ensemble2|
Iceweasel|Iceweasel|
SeaMonkey|SeaMonkey|
Links|Links|
RssReader|rssreader.com|
Radianrss|radianrss|
NewsCopier|NewsCopier|
Epiphany|Epiphany|
K-Meleon|K-Meleon|
iCab|iCab|
Mozilla Minefield|Minefield|
Galeon|Galeon|
Swiftweasel|Swiftweasel|
Generic Gecko|Gecko/|
Safari|CFNetwork|
Playstation|PLAYSTATION|
BlackBerry|BlackBerry|
Mozilla|Mozilla|
